hybrid_rank,user_id,username,pp_rank,pp,elo_rank,elo_rating,elo_raw,elo_estimated,elo_shrunk,otr_rank,otr_rating,otr_estimated,tournaments_played,matches_played,plays,provisional,hybrid_score
1,7562902,mrekk,2,33791,1,2489,2549,,yes,2,2894,,41,198,22,yes,6.921130091184462
2,12408961,MALISZEWSKI,62,20566,3,2399,2463,,yes,1,3041,,111,566,26,,6.309330612608594
3,9224078,FlyingTuna,42,21711,6,2310,2405,,yes,5,2739,,60,306,12,yes,5.512285514545111
4,8640970,enri,22,24077,2,2409,2470,,yes,13,2488,,54,268,24,yes,5.510278605761632
5,7341183,ASecretBox,30,23065,5,2373,2429,,yes,9,2586,,44,187,24,,5.509358815074435
6,16817965,Kamensh1k,37,22132,4,2388,2433,,yes,14,2466,,40,152,33,,5.290864525525101
7,13108233,milosz,6,28673,,2173,,yes,,33,2380,,26,107,0,,5.187320402760488
8,8116659,criller,213,17578,19,2218,2312,,yes,3,2827,,41,214,11,yes,5.102438887067311
9,5199332,Chicony,25,23609,15,2318,2334,,yes,21,2420,,46,211,64,,5.050464104965187
10,15406985,Ivaxa,3,31581,22,2277,2304,,yes,37,2288,,7,23,13,yes,4.9726656544752705
11,2165650,mcy4,104,19381,17,2245,2322,,yes,7,2629,,67,341,13,yes,4.956253300659771
12,10549880,NINERIK,5,30672,68,2199,2219,,yes,27,2402,,66,257,1,yes,4.927685375416116
13,5033077,Zylice,9,26788,9,2359,2372,,,77,2150,,79,349,80,,4.85107311019217
14,8007528,Raikouhou,65,20455,18,2277,2318,,yes,15,2459,,59,238,26,,4.8139610604501435
15,4108547,WindowLife,49,21221,,2074,,yes,,22,2417,,36,175,0,,4.756149203565285
16,9938943,aknzx,34,22443,16,2302,2330,,yes,41,2263,,23,109,38,,4.645219354506051
17,11375105,lolol233,153,18359,24,2230,2290,,yes,11,2516,,54,242,17,,4.630489976471138
18,5645231,decaten,159,18269,14,2271,2339,,yes,17,2442,,60,246,18,yes,4.628642596512819
19,8472976,Suyung_,171,18132,29,2185,2286,,yes,10,2557,,27,132,8,yes,4.5223548727761465
20,14106450,worst hr player,73,20125,1244,2017,1916,,yes,4,2807,,24,116,2,yes,4.51620818213452
21,14676719,TTv_UFO,60,20587,36,2209,2269,,yes,23,2415,,14,51,12,yes,4.463511904584506
22,7512553,Utami,89,19657,260,2062,2083,,yes,6,2681,,60,317,3,yes,4.448129305271179
23,11443437,[Karcher],80,19844,39,2158,2263,,yes,12,2491,,60,312,5,yes,4.435923089824531
24,2291265,Arnold24x24,68,20366,51,2171,2240,,yes,16,2444,,106,464,8,yes,4.4293813254498815
25,12779141,gnahus,11,26019,20,2215,2308,,yes,60,2204,,72,284,4,yes,4.426593487349287
