hybrid_rank,user_id,username,pp_rank,pp,elo_rank,elo_rating,elo_estimated,otr_rank,otr_rating,otr_estimated,tournaments_played,matches_played,plays,provisional,hybrid_score
1,7562902,mrekk,2,33791,1,2549,,2,2894,,41,198,22,yes,6.9108038701271655
2,12408961,MALISZEWSKI,62,20566,3,2463,,1,3041,,111,566,26,,6.356572117020349
3,9224078,FlyingTuna,42,21711,6,2405,,5,2739,,60,306,12,yes,5.675516542635725
4,7341183,ASecretBox,30,23065,5,2429,,9,2586,,44,187,24,,5.50495190109881
5,8640970,enri,22,24077,2,2470,,13,2488,,54,268,24,yes,5.482036444058225
6,8116659,criller,213,17578,19,2312,,3,2827,,41,214,11,yes,5.349760031127017
7,10549880,NINERIK,5,30672,68,2219,,27,2402,,66,257,1,yes,5.2713765705556686
8,16817965,Kamensh1k,37,22132,4,2433,,14,2466,,40,152,33,,5.235232175896245
9,13108233,milosz,6,28673,,2173,yes,33,2380,,26,107,0,,5.187320402760488
10,14106450,worst hr player,73,20125,1244,1916,,4,2807,,24,116,2,yes,5.141561497298456
11,2165650,mcy4,104,19381,17,2322,,7,2629,,67,341,13,yes,5.102475827769998
12,5199332,Chicony,25,23609,15,2334,,21,2420,,46,211,64,,4.961357877043615
13,15406985,Ivaxa,3,31581,22,2304,,37,2288,,7,23,13,yes,4.957584617883022
14,7512553,Utami,89,19657,260,2083,,6,2681,,60,317,3,yes,4.941459593336498
15,7813296,rektygon,92,19621,225,2101,,8,2623,,75,375,3,yes,4.830913200917754
16,8007528,Raikouhou,65,20455,18,2318,,15,2459,,59,238,26,,4.814600104667069
17,8472976,Suyung_,171,18132,29,2286,,10,2557,,27,132,8,yes,4.771728306056368
18,4108547,WindowLife,49,21221,,2074,yes,22,2417,,36,175,0,,4.756149203565287
19,11443437,[Karcher],80,19844,39,2263,,12,2491,,60,312,5,yes,4.745569236236319
20,5033077,Zylice,9,26788,9,2372,,77,2150,,79,349,80,,4.7217252376622705
21,11375105,lolol233,153,18359,24,2290,,11,2516,,54,242,17,,4.716235479195222
22,5645231,decaten,159,18269,14,2339,,17,2442,,60,246,18,yes,4.688052145255471
23,2291265,Arnold24x24,68,20366,51,2240,,16,2444,,106,464,8,yes,4.617401027402726
24,9938943,aknzx,34,22443,16,2330,,41,2263,,23,109,38,,4.578423668303648
25,12779141,gnahus,11,26019,20,2308,,60,2204,,72,284,4,yes,4.574490002689441
26,14676719,TTv_UFO,60,20587,36,2269,,23,2415,,14,51,12,yes,4.567096008812429
27,3717598,xootynator,87,19730,667,1987,,20,2438,,80,420,1,yes,4.476938617733182
28,9269034,Akolibed,4,31448,91,2189,,111,2080,,48,192,2,yes,4.42722011567784
29,11226645,JackPaX,405,16178,34,2270,,19,2439,,62,254,5,yes,4.346401084016887
30,10077431,plambob,43,21603,,2080,yes,45,2258,,21,97,0,,4.333203521843098
31,1473890,badeu,322,16657,41,2257,,24,2415,,82,434,14,yes,4.313603486359972
32,19851850,cloppit,16,24697,8,2373,,157,1987,,9,31,24,,4.284165694628026
33,7075211,tekkito,236,17381,56,2234,,29,2395,,104,465,12,yes,4.27701836015584
34,13705417,GET LOVED,249,17315,7,2374,,63,2187,,42,175,43,,4.242762607000488
35,8251785,killer2007,14,25144,70,2217,,78,2148,,27,114,5,yes,4.232369599845079
36,2546001,Intercambing,77,19921,47,2251,,48,2246,,102,456,11,yes,4.191336985118546
37,13300203,yary,52,21153,25,2290,,73,2158,,24,107,16,yes,4.177102616965529
38,2511839,NeliNyan,271,17092,67,2219,,31,2382,,59,283,22,yes,4.176657119645195
